,Enumerator Name,Geo_location,District,well_type,sw_bk_well_no,bk_dw_no,well_no_sw_bardiya,well_no_dw_bardiya,measurement_point_cm,Measurement_of_tape_ent_point_MP_in_m,wet_point_measruement_on_tape,gw_level,Notes,today,Audio_Notes,well_no,Month
15,yogendra,28.1060386 81.5971551 99.0 4.551,Banke,sw,bk-sw-25_1,,,,35,3.75,0.5,2.9,,2021-01-27,,bk-sw-25_1,Jan
16,yogendra,28.1287151 81.5894281 88.0 4.551,Banke,sw,bk-sw-17_1,,,,15,5.0,2.15,2.7,,2021-01-27,,bk-sw-17_1,Jan
17,yogendra,28.1465454 81.5519862 93.0 4.551,Banke,sw,bk-sw-18_1,,,,27,5.0,2.05,2.68,,2021-01-27,,bk-sw-18_1,Jan
18,yogendra,28.1114479 81.5216935 79.0 4.551,Banke,sw,bk-sw-19_1,,,,23,7.0,2.05,4.72,,2021-01-27,,bk-sw-19_1,Jan
19,yogendra,28.1920455 81.5747481 99.0 4.854,Banke,sw,bk-sw-05_1,,,,29,5.0,1.75,2.96,,2021-01-27,,bk-sw-05_1,Jan
20,yogendra,28.2576903 81.6361819 95.0 4.551,Banke,sw,bk-sw-02,,1611745033117..amr,,15,0.0,0.0,-0.15,,2021-01-27,dimage,bk-sw-02,Jan
21,yogendra,28.2064949 81.6307264 101.0 4.803,Banke,sw,bk-sw-03,,,,40,8.0,1.5,6.1,,2021-01-27,,bk-sw-03,Jan
22,Subash,28.0803241 81.64207 64.0 51.578,Bardiya,sw,,bd-sw-01,1611808927574.amr,,0,2.0,0.0,2,,2021-01-28,Test,bd-sw-01,Jan
23,yogendra,28.0493274 81.6616258 95.0 4.551,Banke,sw,bk-sw-08_1,,,,36,8.0,2.15,5.49,,2021-01-29,,bk-sw-08_1,Jan
24,yogendra,28.0285434 81.6946848 78.0 4.854,Banke,sw,bk-sw-30,,,,55,6.0,1.55,3.9,,2021-01-29,,bk-sw-30,Jan
25,yogendra,27.9833039 81.7132923 84.0 4.551,Banke,sw,bk-sw-10_1,,,,70,5.0,1.55,2.75,,2021-01-29,,bk-sw-10_1,Jan
26,yogendra,28.0507443 81.5861794 89.0 4.854,Banke,sw,bk-sw-28,,,,55,6.0,1.15,4.3,,2021-01-31,,bk-sw-28,Jan
27,yogendra,28.0242587 81.6002836 91.0 4.854,Banke,sw,bk-sw-11_1,,,,50,6.0,1.35,4.15,,2021-01-31,,bk-sw-11_1,Jan
28,yogendra,28.0151183 81.6543479 82.0 4.803,Banke,sw,bk-sw-09_1,,,,60,5.0,2.25,2.15,,2021-01-31,,bk-sw-09_1,Jan
29,yogendra,28.0020439 81.6523786 69.0 4.551,Banke,sw,bk-sw-29,,,,40,6.0,1.7,3.9,,2021-01-31,,bk-sw-29,Jan
30,yogendra,28.1873921 81.6300983 105.0 4.551,Banke,sw,bk-sw-04,,,,65,5.0,2.65,1.7,,2021-02-01,,bk-sw-04,Feb
31,yogendra,28.1960977 81.7117444 107.0 4.551,Banke,sw,bk-sw-01,,,,20,5.0,1.85,2.95,,2021-02-01,,bk-sw-01,Feb
32,yogendra,28.0812224 81.6450643 94.0 4.551,Banke,sw,bk-sw-24_1,,,,54,6.0,2.45,3.01,,2021-02-03,,bk-sw-24_1,Feb
33,yogendra,28.0928582 81.6478693 99.0 4.551,Banke,sw,bk-sw-07_1,,,,15,4.15,0.5,3.5,,2021-02-03,,bk-sw-07_1,Feb
34,yogendra,28.13181 81.6588146 97.0 4.854,Banke,sw,bk-sw-06_1,,,,45,5.0,2.8,1.75,,2021-02-03,,bk-sw-06_1,Feb
35,yogendra,28.0960436 81.5211363 84.0 4.551,Banke,dt,,,,,25,13.0,1.8,10.95,bk-dw-02,2021-02-05,,,Feb
36,yogendra,28.0513081 81.6024541 86.0 4.551,Banke,dt,,,,,27,5.0,1.05,3.68,bk-dw-05,2021-02-05,,,Feb
37,yogendra,28.1132361 81.5173035 91.0 4.551,Banke,dt,,,,,49,15.0,3.7,10.81,bk-dw-04_1,2021-02-05,,,Feb
38,yogendra,28.1223281 81.5165796 90.0 4.854,Banke,dt,,,,,42,13.0,1.75,10.83,bk-dw-03,2021-02-05,,,Feb
39,yogendra,28.0818215 81.5466409 84.0 4.551,Banke,dt,,,,,37,15.0,3.65,10.98,bk-dw-01,2021-02-05,,,Feb
40,Anita,28.085181 81.5163616 83.0 4.803,Bardiya,dt,,,1611818785404.amr,bd-dw-01,25,13.0,1.0,11.75,,2021-01-28,,1611818785404.amr,Jan
41,A,28.0883406 81.502631 89.0 4.854,Bardiya,dt,,,,bd-dw-03,20,13.0,1.2,11.6,,2021-01-28,,bd-dw-03,Jan
42,A,28.1055899 81.4825913 79.0 4.551,Bardiya,dt,,,,bd-dw-02,10,15.0,4.5,10.4,,2021-01-28,,bd-dw-02,Jan
43,A,28.0828531 81.5111708 89.0 4.551,Bardiya,dt,,,,bd-dw-04,24,13.0,3.2,9.56,,2021-01-28,,bd-dw-04,Jan
44,Anita Singh thakur,28.1486845 81.4968653 88.0 6.674,Bardiya,sw,,bd-sw-18,,,40,5.0,1.2,3.4,,2021-02-03,,bd-sw-18,Feb
45,Anita Singh thakur,28.1464123 81.4790915 84.0 4.551,Bardiya,sw,,bd-sw-19,,,30,8.0,3.0,4.7,,2021-02-03,,bd-sw-19,Feb
46,Anita Singh thakur,28.1656409 81.5008473 94.0 4.854,Bardiya,sw,,bd-sw-20,,,70,7.0,2.2,4.1,,2021-02-03,,bd-sw-20,Feb
47,Anita Singh thakur,28.189743 81.3836823 90.0 4.854,Bardiya,sw,,bd-sw-05,,,30,5.0,1.0,3.7,,2021-02-03,,bd-sw-05,Feb
48,Anita Singh thakur,28.1691594 81.3378798 89.0 4.803,Bardiya,sw,,bd-sw-06,,,40,9.0,3.0,5.6,,2021-02-03,,bd-sw-06,Feb
49,Anita Singh thakur,28.2385395 81.2889351 104.0 4.803,Bardiya,sw,,bd-sw-23,,,20,13.0,3.6,9.2,,2021-02-03,,bd-sw-23,Feb
50,Anita Singh thakur,28.2504704 81.3107656 104.0 4.854,Bardiya,sw,,bd-sw-09,,,50,7.0,2.0,4.5,,2021-02-03,,bd-sw-09,Feb
51,Anita ,28.3349604 81.2660784 104.0 6.068,Bardiya,sw,,bd-sw-13,,,10,5.0,2.0,2.9,,2021-02-03,,bd-sw-13,Feb
52,Anita,28.2795711 81.2628225 103.0 4.854,Bardiya,sw,,bd-sw-12,,,40,13.0,2.0,10.6,,2021-02-03,,bd-sw-12,Feb
53,Anita,28.1880467 81.479971 85.0 4.854,Bardiya,sw,,bd-sw-03,,,40,5.0,1.0,3.6,,2021-02-08,,bd-sw-03,Feb
54,Anita,28.2364793 81.5477362 95.0 4.551,Bardiya,sw,,bd-sw-02,,,0,3.0,1.0,2,,2021-02-08,,bd-sw-02,Feb
55,Anita,28.2490131 81.5848865 102.0 4.803,Bardiya,sw,,bd-sw-22,,,10,8.0,3.0,4.9,,2021-02-08,,bd-sw-22,Feb
56,Anita,28.2282732 81.5671712 103.0 4.854,Bardiya,sw,,bd-sw-21,,,40,10.0,4.0,5.6,,2021-02-08,,bd-sw-21,Feb
57,Anita,28.289843 81.4420836 100.0 6.674,Bardiya,sw,,bd-sw-04,,,32,5.0,2.0,2.68,,2021-02-08,,bd-sw-04,Feb
58,Anita,28.3512356 81.4297427 107.0 4.854,Bardiya,sw,,bd-sw-08,,,40,5.0,2.0,2.6,,2021-02-08,,bd-sw-08,Feb
59,Anita,28.301372 81.3365896 98.0 4.854,Bardiya,sw,,bd-sw-10,,,60,7.0,4.0,2.4,,2021-02-08,,bd-sw-10,Feb
60,Anita,28.3056157 81.3593068 111.0 4.854,Bardiya,sw,,bd-sw-07,,,45,8.0,4.0,3.55,,2021-02-08,,bd-sw-07,Feb
61,Anita,28.3065235 81.3591491 67.0 4.854,Bardiya,sw,,bd-sw-11,,,75,5.0,1.6,2.65,,2021-02-08,,bd-sw-11,Feb
62,Anita,28.0731407 81.5542272 82.0 4.854,Bardiya,sw,,bd-sw-14,,,10,3.0,1.0,1.9,,2021-02-09,,bd-sw-14,Feb
63,Anita,28.0731098 81.5542463 88.0 7.585,Bardiya,sw,,bd-sw-15,,,55,4.0,1.9,1.55,,2021-02-09,,bd-sw-15,Feb
64,Anita,28.073127 81.5541212 84.0 10.922,Bardiya,sw,,bd-sw-16,,,60,5.0,1.7,2.7,,2021-02-09,,bd-sw-16,Feb
65,Anita,28.0731672 81.5542815 104.94542163409031 4.551,Bardiya,sw,,bd-sw-14,,,10,3.0,0.8,2.1,,2021-03-11,,bd-sw-14,Mar
66,Anita,28.0731024 81.5542315 86.99709783240762 4.854,Bardiya,sw,,bd-sw-16,,,60,4.0,0.5,2.9,,2021-03-11,,bd-sw-16,Mar
67,Anita,28.0714983 81.5555563 99.08029075331622 4.551,Bardiya,sw,,bd-sw-15,,,55,3.0,0.8,1.65,,2021-03-11,,bd-sw-15,Mar
68,Anita,28.3350722 81.266166 111.60088699702597 4.803,Bardiya,sw,,bd-sw-13,,,10,4.0,1.0,2.9,,2021-03-11,,bd-sw-13,Mar
69,Anita,28.2794958 81.2629023 107.03814142257802 4.854,Bardiya,sw,,bd-sw-12,,,40,12.0,0.8,10.8,,2021-03-11,,bd-sw-12,Mar
70,Anita,28.2486034 81.3085296 90.5413812870741 4.803,Bardiya,sw,,bd-sw-09,,,50,6.0,0.8,4.7,,2021-03-11,,bd-sw-09,Mar
71,Anita,28.2384443 81.2889979 99.38020721660625 4.551,Bardiya,sw,,bd-sw-23,,,20,11.0,1.0,9.8,,2021-03-11,,bd-sw-23,Mar
72,Anita,28.3062108 81.3598135 118.06436491626144 4.803,Bardiya,sw,,bd-sw-11,,,75,4.0,0.4,2.85,,2021-03-07,,bd-sw-11,Mar
73,Anita,28.3056749 81.3593067 100.86351665322108 4.803,Bardiya,sw,,bd-sw-07,,,45,5.0,0.9,3.65,,2021-03-07,,bd-sw-07,Mar
74,Anita,28.3014031 81.336592 104.1813218362487 4.854,Bardiya,sw,,bd-sw-10,,,60,4.0,0.8,2.6,,2021-03-07,,bd-sw-10,Mar
75,Anita,28.3512284 81.4297636 119.67341249566695 4.854,Bardiya,sw,,bd-sw-08,,,40,4.0,0.8,2.8,,2021-03-07,,bd-sw-08,Mar
76,Anita,28.2898343 81.4420493 126.95142862473695 4.854,Bardiya,sw,,bd-sw-04,,,32,4.0,0.9,2.78,,2021-03-07,,bd-sw-04,Mar
77,Anita,28.2282382 81.5671037 115.9142519379145 4.854,Bardiya,sw,,bd-sw-21,,,40,7.0,0.8,5.8,,2021-03-07,,bd-sw-21,Mar
78,Anita,28.2491036 81.5849593 108.6977505978707 4.551,Bardiya,sw,,bd-sw-22,,,10,6.0,0.8,5.1,,2021-03-07,,bd-sw-22,Mar
79,Anita,28.2363902 81.5476911 101.27054109400545 4.551,Bardiya,sw,,bd-sw-02,,,0,2.5,0.4,2.1,,2021-03-07,,bd-sw-02,Mar
80,Anita,28.1691837 81.3378857 96.73433746866007 4.854,Bardiya,sw,,bd-sw-06,,,40,8.0,2.0,5.6,,2021-03-02,,bd-sw-06,Mar
81,Anita,28.1897781 81.3836074 94.92469693880524 4.803,Bardiya,sw,,bd-sw-05,,,30,6.0,1.0,4.7,,2021-03-02,,bd-sw-05,Mar
82,Anita,28.1880313 81.4798915 121.2782591623503 4.803,Bardiya,sw,,bd-sw-03,,,40,5.0,0.6,4,,2021-03-02,,bd-sw-03,Mar
83,Anita,28.1656437 81.5007906 102.14761240311637 4.854,Bardiya,sw,,bd-sw-18,,,40,5.0,0.4,4.2,,2021-03-02,,bd-sw-18,Mar
84,Anita,28.1464325 81.4790871 114.80654216916955 4.551,Bardiya,sw,,bd-sw-19,,,30,7.0,1.0,5.7,,2021-03-02,,bd-sw-19,Mar
85,Anita,28.1486586 81.4968512 114.17191698239404 4.551,Bardiya,sw,,bd-sw-20,,,70,5.0,0.5,3.8,,2021-03-02,,bd-sw-20,Mar
86,Anita,28.1056335 81.4826266 101.64972244421142 4.551,Bardiya,dt,,,,bd-dw-02,10,15.0,4.0,10.9,,2021-02-28,,bd-dw-02,Feb
87,Anita,28.0883672 81.5027316 93.64420265399683 4.854,Bardiya,dt,,,,bd-dw-03,20,13.0,1.0,11.8,,2021-02-28,,bd-dw-03,Feb
88,Anita,28.0828814 81.5111584 96.91293395289823 4.854,Bardiya,dt,,,,bd-dw-04,24,14.0,4.0,9.76,,2021-02-28,,bd-dw-04,Feb
89,Anita,28.0852203 81.5164757 101.26572693436447 4.854,Bardiya,dt,,,,bd-dw-01,25,13.0,0.8,11.95,,2021-02-25,,bd-dw-01,Feb
90,yogendra,28.0507648 81.5861597 99.08832275188804 4.551,Banke,sw,bk-sw-28,,,,55,7.0,1.85,4.6,,2021-02-24,,bk-sw-28,Feb
91,yogendra,28.1318094 81.6588648 108.93264494159047 4.551,Banke,sw,bk-sw-06_1,,,,45,5.0,2.65,1.9,,2021-02-25,,bk-sw-06_1,Feb
92,yogendra,28.0928569 81.6478714 101.68621225168131 4.551,Banke,sw,bk-sw-07_1,,,,15,4.35,0.5,3.7,,2021-02-25,,bk-sw-07_1,Feb
93,yogendra,28.0812296 81.6450593 107.35515950953524 4.551,Banke,sw,bk-sw-24_1,,,,54,6.0,1.95,3.51,,2021-02-25,,bk-sw-24_1,Feb
94,yogendra,28.1961034 81.711776 118.65058920259087 4.854,Banke,sw,bk-sw-01,,,,20,5.0,1.5,3.3,,2021-02-28,,bk-sw-01,Feb
95,yogendra,28.1465538 81.5519786 99.09388732335618 4.551,Banke,sw,bk-sw-18_1,,,,27,5.0,1.6,3.13,,2021-03-01,,bk-sw-18_1,Mar
96,yogendra,28.206544 81.6307359 111.39332472668187 4.803,Banke,sw,bk-sw-03,,,,40,9.0,2.3,6.3,,2021-02-28,,bk-sw-03,Feb
97,yogendra,28.1921073 81.5747382 93.94653314024943 4.803,Banke,sw,bk-sw-05_1,,,,29,5.0,1.7,3.01,,2021-02-28,,bk-sw-05_1,Feb
98,yogendra,28.1873729 81.630073 120.06170870396069 4.854,Banke,sw,bk-sw-04,,,,65,5.0,2.52,1.83,,2021-02-28,,bk-sw-04,Feb
99,yogendra,28.0830308 81.5956368 104.12210698051976 4.551,Banke,sw,bk-sw-27,,,,40,4.8,0.5,3.9,,2021-03-01,,bk-sw-27,Mar
100,yogendra,28.1060812 81.5971233 104.21288580035973 4.551,Banke,sw,bk-sw-25_1,,,,35,3.9,0.5,3.05,,2021-03-01,,bk-sw-25_1,Mar
101,yogendra,28.0513296 81.6024401 99.78216916808152 4.803,Banke,dt,,,,,27,6.0,1.8,3.93,bk-dw-05,2021-03-02,,,Mar
102,yogendra,28.1114455 81.5216505 96.5277953917899 4.854,Banke,sw,bk-sw-19_1,,,,23,7.0,1.5,5.27,,2021-03-02,,bk-sw-19_1,Mar
103,yogendra,28.1132621 81.5173494 102.95116262915187 4.803,Banke,dt,,,,,49,15.0,3.6,10.91,bk-dw-04_1,2021-03-02,,,Mar
104,yogendra,28.1222988 81.5166218 98.51146259885857 4.551,Banke,dt,,,,,42,13.0,1.55,11.03,bk-dw-03,2021-03-02,,,Mar
105,yogendra,28.0959921 81.521179 94.74799728729445 4.854,Banke,dt,,,,,25,15.0,3.65,11.1,bk-dw-02,2021-03-02,,,Mar
106,yogendra,28.0818033 81.5465529 103.48403618550809 4.803,Banke,dt,,,,,37,13.0,1.65,10.98,bk-dw-01,2021-03-02,,,Mar
107,yogendra,28.0494204 81.6616308 95.60796911318198 4.551,Banke,sw,bk-sw-08_1,,,,36,8.0,1.65,5.99,,2021-03-03,,bk-sw-08_1,Mar
108,yogendra,28.0285545 81.6946709 100.51913615300215 4.551,Banke,sw,bk-sw-30,,,,55,6.0,1.3,4.15,,2021-03-03,,bk-sw-30,Mar
109,yogendra,27.9834125 81.7133541 89.83573954444914 4.803,Banke,sw,bk-sw-10_1,,,,70,5.0,1.33,2.97,,2021-03-03,,bk-sw-10_1,Mar
110,yogendra,28.0243004 81.6002834 85.53872048691571 4.551,Banke,sw,bk-sw-11_1,,,,50,7.0,1.6,4.9,,2021-03-30,,bk-sw-11_1,Mar
111,yogendra,28.0150979 81.6543421 79.45554699138219 4.854,Banke,sw,bk-sw-09_1,,,,60,5.0,1.8,2.6,,2021-03-30,,bk-sw-09_1,Mar
112,yogendra,28.002087 81.652334 74.79502092410074 4.803,Banke,sw,bk-sw-29,,,,40,7.0,2.05,4.55,,2021-03-30,,bk-sw-29,Mar
113,yogendra,28.0285641 81.6947339 83.35339274716405 4.854,Banke,sw,bk-sw-30,,,,55,6.0,1.15,4.3,,2021-04-01,,bk-sw-30,Apr
114,yogendra,27.98343 81.713307 73.34943673778383 4.551,Banke,sw,bk-sw-10_1,,,,70,5.0,1.23,3.07,,2021-04-01,,bk-sw-10_1,Apr
115,yogendra,28.0493765 81.6617097 93.93173480873038 4.551,Banke,sw,bk-sw-08_1,,,,36,8.0,1.5,6.14,,2021-04-01,,bk-sw-08_1,Apr
116,yogendra,28.1960804 81.7117424 127.62967228481328 4.854,Banke,sw,bk-sw-01,,,,20,5.0,1.34,3.46,,2021-04-02,,bk-sw-01,Apr
117,yogendra,28.206532 81.6306905 107.15215606637075 4.803,Banke,sw,bk-sw-03,,,,40,9.0,1.75,6.85,,2021-04-02,,bk-sw-03,Apr
118,yogendra,28.1920742 81.5747772 89.91490084008717 4.551,Banke,sw,bk-sw-05_1,,,,29,5.0,1.6,3.11,,2021-04-02,,bk-sw-05_1,Apr
119,yogendra,28.1873992 81.6299874 104.63128751372183 4.551,Banke,sw,bk-sw-04,,,,65,5.0,2.07,2.28,,2021-04-02,,bk-sw-04,Apr
120,yogendra,28.078045 81.5932275 84.9956152614164 4.854,Banke,sw,bk-sw-26,,,,25,5.0,1.92,2.83,,2021-04-03,,bk-sw-26,Apr
121,yogendra,28.0830206 81.5956341 76.27681261735586 4.803,Banke,sw,bk-sw-27,,,,40,4.9,0.5,4,,2021-04-03,,bk-sw-27,Apr
122,yogendra,28.1060287 81.5971035 84.74134994144606 4.551,Banke,sw,bk-sw-25_1,,,,35,4.1,0.5,3.25,,2021-04-03,,bk-sw-25_1,Apr
123,yogendra,28.1287337 81.5893729 87.98446775075215 4.551,Banke,sw,bk-sw-17_1,,,,15,5.0,1.05,3.8,,2021-04-03,,bk-sw-17_1,Apr
124,yogendra,28.1465581 81.5519536 103.6786630334175 4.551,Banke,sw,bk-sw-18_1,,,,27,5.0,1.08,3.65,,2021-04-03,,bk-sw-18_1,Apr
125,yogendra,28.1317973 81.6588377 98.44866010861558 4.803,Banke,sw,bk-sw-06_1,,,,45,5.0,2.26,2.29,,2021-04-04,,bk-sw-06_1,Apr
126,yogendra,28.0928489 81.6478628 94.33627246343464 4.854,Banke,sw,bk-sw-07_1,,,,15,4.95,0.5,4.3,,2021-04-04,,bk-sw-07_1,Apr
127,yogendra,28.0812185 81.645044 101.03061213006376 4.803,Banke,sw,bk-sw-24_1,,,,54,6.0,1.55,3.91,,2021-04-04,,bk-sw-24_1,Apr
128,Anita,28.0852756 81.5164958 93.39883379549784 4.854,Bardiya,dt,,,,bd-dw-01,25,15.0,1.0,13.75,,2021-03-13,,bd-dw-01,Mar
129,Anita,28.082907 81.5111801 99.5016497333836 4.803,Bardiya,dt,,,,bd-dw-04,24,14.0,3.8,9.96,,2021-04-01,,bd-dw-04,Apr
130,Anita,28.0883862 81.5027232 100.62413342298225 4.551,Bardiya,dt,,,,bd-dw-03,20,14.0,1.8,12,,2021-04-01,,bd-dw-03,Apr
131,Anita,28.1056721 81.482622 97.9604413131479 4.551,Bardiya,dt,,,,bd-dw-02,10,13.0,1.0,11.9,,2021-04-01,,bd-dw-02,Apr
132,Anita,28.2283231 81.5671834 99.89142916824524 4.803,Bardiya,sw,,bd-sw-21,,,40,8.0,1.7,5.9,,2021-04-02,,bd-sw-21,Apr
133,anita,28.2490794 81.5849847 104.17643321182874 4.854,Bardiya,sw,,bd-sw-22,,,10,7.0,1.0,5.9,,2021-04-02,,bd-sw-22,Apr
134,Anita,28.2364874 81.547728 87.96004384746297 4.551,Bardiya,sw,,bd-sw-02,,,0,4.0,1.7,2.3,,2021-04-02,,bd-sw-02,Apr
135,Anita,28.2898387 81.4420108 107.79121571638501 4.854,Bardiya,sw,,bd-sw-04,,,32,5.0,1.7,2.98,,2021-04-02,,bd-sw-04,Apr
136,Anita,28.3512469 81.4297408 106.21650332250346 4.854,Bardiya,sw,,bd-sw-08,,,40,5.0,1.0,3.6,,2021-04-02,,bd-sw-08,Apr
137,Anita,28.3034656 81.3628923 93.84228750534798 4.551,Bardiya,sw,,bd-sw-10,,,60,5.0,1.2,3.2,,2021-04-02,,bd-sw-10,Apr
138,Anita,28.3062642 81.3597118 89.7356624809828 4.551,Bardiya,sw,,bd-sw-07,,,45,6.0,1.7,3.85,,2021-04-02,,bd-sw-07,Apr
139,Anita,28.3061076 81.3596523 84.94281640751262 4.551,Bardiya,sw,,bd-sw-11,,,75,6.0,2.0,3.25,,2021-04-02,,bd-sw-11,Apr
140,Anita,28.1487395 81.4968819 80.50877891180384 4.854,Bardiya,sw,,bd-sw-18,,,40,6.0,1.0,4.6,,2021-04-04,,bd-sw-18,Apr
141,Anita,28.1463687 81.4791724 101.58299779638564 4.551,Bardiya,sw,,bd-sw-19,,,30,8.0,1.8,5.9,,2021-04-04,,bd-sw-19,Apr
142,Anita,28.1656501 81.5008536 91.32159697499588 4.551,Bardiya,sw,,bd-sw-17,,,0,7.0,1.9,5.1,,2021-04-04,,bd-sw-17,Apr
143,Anita,28.1880624 81.4799019 81.2009829044684 4.854,Bardiya,sw,,bd-sw-03,,,40,6.0,1.2,4.4,,2021-04-04,,bd-sw-03,Apr
144,Anita,28.189743 81.3836249 83.74002506849011 4.854,Bardiya,sw,,bd-sw-05,,,30,6.0,1.0,4.7,,2021-04-04,,bd-sw-05,Apr
145,Anita,28.1691931 81.3378602 82.55503321299061 4.854,Bardiya,sw,,bd-sw-06,,,40,8.0,1.5,6.1,,2021-04-04,,bd-sw-06,Apr
146,Anita,28.2473471 81.3078664 104.48587272855438 4.803,Bardiya,sw,,bd-sw-09,,,50,7.0,1.5,5,,2021-04-04,,bd-sw-09,Apr
147,Anita,28.2795566 81.2628796 101.39670729066788 4.803,Bardiya,sw,,bd-sw-12,,,40,14.0,2.0,11.6,,2021-04-04,,bd-sw-12,Apr
148,Anita,28.3287679 81.2715464 121.20034075891353 4.551,Bardiya,sw,,bd-sw-13,,,10,5.0,1.8,3.1,,2021-04-04,,bd-sw-13,Apr
149,Anita,28.0731597 81.5542048 89.54488569715397 4.803,Bardiya,sw,,bd-sw-15,,,55,4.0,1.0,2.45,,2021-04-06,,bd-sw-15,Apr
150,Anita,28.0730776 81.5542921 93.41935404156682 4.854,Bardiya,sw,,bd-sw-14,,,10,4.0,1.5,2.4,,2021-04-06,,bd-sw-14,Apr
151,Anita,28.071498 81.5555033 83.979209134853 4.854,Bardiya,sw,,bd-sw-16,,,60,5.0,1.0,3.4,,2021-04-07,,bd-sw-16,Apr
152,yogendra,28.0242383 81.6002699 86.62625994039676 4.551,Banke,sw,bk-sw-11_1,,,,50,7.0,1.46,5.04,,2021-04-23,,bk-sw-11_1,Apr
153,yogendra,28.04937 81.6616595 96.96271786018812 4.854,Banke,sw,bk-sw-08_1,,,,36,8.0,1.2,6.44,,2021-04-22,,bk-sw-08_1,Apr
154,yogendra,28.0285383 81.6947455 93.6523845583338 4.551,Banke,sw,bk-sw-30,,,,55,6.0,1.05,4.4,,2021-04-22,,bk-sw-30,Apr
155,yogendra,27.9833849 81.7132719 88.01714523602642 4.551,Banke,sw,bk-sw-10_1,,,,70,6.0,2.17,3.13,,2021-04-22,,bk-sw-10_1,Apr
156,yogendra,28.0151007 81.6543121 89.52724814325752 4.854,Banke,sw,bk-sw-09_1,,,,60,5.0,1.7,2.7,,2021-04-23,,bk-sw-09_1,Apr
157,yogendra,28.0020628 81.6523544 84.81285054730857 4.551,Banke,sw,bk-sw-29,,,,40,7.0,1.9,4.7,,2021-04-23,,bk-sw-29,Apr
158,yogendra,28.050811 81.5861641 82.69485201608745 4.551,Banke,sw,bk-sw-28,,,,55,7.0,1.05,5.4,,2021-04-26,,bk-sw-28,Apr
159,yogendra,28.0780817 81.5932166 82.84832140103399 4.854,Banke,sw,bk-sw-26,,,,25,5.0,1.67,3.08,,2021-04-26,,bk-sw-26,Apr
160,yogendra,28.083025 81.5955229 105.59481440471494 4.854,Banke,sw,bk-sw-27,,,,40,5.2,0.5,4.3,,2021-04-26,,bk-sw-27,Apr
161,yogendra,28.1060556 81.5971341 90.17572515657702 4.803,Banke,sw,bk-sw-25_1,,,,35,4.3,0.5,3.45,,2021-04-26,,bk-sw-25_1,Apr
162,yogendra,28.1287134 81.5893535 94.29315716249143 4.854,Banke,sw,bk-sw-17_1,,,,15,6.0,1.75,4.1,,2021-04-26,,bk-sw-17_1,Apr
